epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.6047,1.74983,2.81169,1.96465,0.58516,0.42234,0.40559,0.16633,2.0806,2.68156,2.06785,0.000332347,0.000332347,0.000332347
2,156.737,1.64866,2.26975,1.87357,0.31981,0.41995,0.33521,0.12216,2.40141,2.42322,2.33743,0.000632729,0.000632729,0.000632729
3,234.696,1.61465,2.12845,1.84073,0.49566,0.4801,0.46767,0.18151,2.20995,2.17195,2.17641,0.000900111,0.000900111,0.000900111
4,310.726,1.59601,2.04135,1.81021,0.53108,0.5617,0.51641,0.22987,1.89513,1.93213,1.86478,0.0008515,0.0008515,0.0008515
5,388.36,1.55531,1.96875,1.79067,0.81475,0.43623,0.57011,0.25774,1.8138,1.82195,1.82124,0.000802,0.000802,0.000802
6,466.655,1.53924,1.91613,1.77843,0.69955,0.48181,0.55756,0.23767,1.97624,1.71415,1.96141,0.0007525,0.0007525,0.0007525
7,546.005,1.52347,1.85882,1.76392,0.51418,0.59254,0.5718,0.26855,1.78935,1.62928,1.84031,0.000703,0.000703,0.000703
8,623.056,1.4987,1.81919,1.74948,0.71129,0.5536,0.63502,0.29876,1.73229,1.55129,1.76275,0.0006535,0.0006535,0.0006535
9,701.284,1.4745,1.77068,1.72329,0.61365,0.63105,0.66845,0.31561,1.74407,1.48229,1.75975,0.000604,0.000604,0.000604
10,779.293,1.47419,1.76822,1.72905,0.59472,0.64056,0.65296,0.3034,1.77683,1.48236,1.80434,0.0005545,0.0005545,0.0005545
11,853.314,1.52245,1.74268,1.84926,0.59804,0.65187,0.66712,0.32453,1.7092,1.44304,1.72389,0.000505,0.000505,0.000505
12,925.114,1.47537,1.64638,1.81294,0.5914,0.66754,0.69223,0.32848,1.74729,1.39924,1.7447,0.0004555,0.0004555,0.0004555
13,997.679,1.46166,1.59748,1.80304,0.64727,0.64425,0.70584,0.36457,1.60705,1.39111,1.64822,0.000406,0.000406,0.000406
14,1070.68,1.45161,1.5385,1.78735,0.69756,0.60478,0.68494,0.34265,1.64488,1.40171,1.69691,0.0003565,0.0003565,0.0003565
15,1142.75,1.43016,1.507,1.76218,0.59824,0.69386,0.71215,0.37203,1.63184,1.30198,1.64776,0.000307,0.000307,0.000307
16,1214.36,1.41023,1.45992,1.74426,0.69796,0.67119,0.72807,0.38415,1.58905,1.2995,1.62814,0.0002575,0.0002575,0.0002575
17,1286.8,1.38894,1.44061,1.7309,0.67865,0.66777,0.73492,0.36757,1.68709,1.30974,1.68811,0.000208,0.000208,0.000208
18,1360.04,1.36616,1.40763,1.7085,0.67563,0.69165,0.71973,0.37992,1.60989,1.30266,1.66461,0.0001585,0.0001585,0.0001585
19,1431.05,1.35219,1.39485,1.70315,0.67569,0.70202,0.74271,0.38649,1.5991,1.25563,1.65433,0.000109,0.000109,0.000109
20,1500.02,1.33307,1.35277,1.68727,0.66757,0.70186,0.73417,0.41138,1.51356,1.21891,1.60428,5.95e-05,5.95e-05,5.95e-05
