epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.157,1.85994,3.0611,2.26147,0.28775,0.46239,0.35998,0.12857,2.40213,3.30806,2.44308,0.000332347,0.000332347,0.000332347
2,222.226,1.68555,2.45587,2.10769,0.35178,0.26186,0.24187,0.08716,2.54629,3.07642,2.66833,0.000632729,0.000632729,0.000632729
3,330.093,1.64989,2.28204,2.07418,0.4632,0.41849,0.40693,0.16484,2.28394,2.39994,2.46832,0.000900111,0.000900111,0.000900111
4,437.54,1.60626,2.18167,2.02727,0.63148,0.43489,0.4642,0.20109,2.06917,2.16657,2.20306,0.0008515,0.0008515,0.0008515
5,544.466,1.58582,2.12826,2.01421,0.63643,0.48073,0.50859,0.223,1.85962,1.98328,2.08064,0.000802,0.000802,0.000802
6,651.985,1.55151,2.0537,1.98513,0.64934,0.51554,0.52169,0.20142,2.04661,1.87392,2.23399,0.0007525,0.0007525,0.0007525
7,760.585,1.53234,2.00485,1.96769,0.62588,0.43764,0.46739,0.18412,2.08855,1.91043,2.26182,0.000703,0.000703,0.000703
8,868.726,1.52029,1.96122,1.95513,0.63704,0.49081,0.52419,0.22852,1.88167,1.76077,2.11618,0.0006535,0.0006535,0.0006535
9,977.876,1.49188,1.92561,1.92997,0.74323,0.49615,0.56309,0.2255,1.99971,1.78947,2.22669,0.000604,0.000604,0.000604
10,1090.51,1.48691,1.91063,1.93724,0.68928,0.54813,0.59514,0.28437,1.75031,1.62415,2.01626,0.0005545,0.0005545,0.0005545
11,1195.61,1.49632,1.87266,2.08623,0.75766,0.56841,0.64045,0.31694,1.71125,1.56032,1.97397,0.000505,0.000505,0.000505
12,1297.5,1.45759,1.75046,2.04113,0.53902,0.55392,0.58146,0.2705,1.74572,1.6134,2.00118,0.0004555,0.0004555,0.0004555
13,1400.07,1.4432,1.72418,2.02441,0.58996,0.56649,0.63638,0.31698,1.69871,1.51986,1.93768,0.000406,0.000406,0.000406
14,1502.79,1.42236,1.67411,2.00762,0.6604,0.64848,0.68341,0.33546,1.66712,1.48249,1.92601,0.0003565,0.0003565,0.0003565
15,1608.84,1.40851,1.64521,1.98456,0.59003,0.596,0.67247,0.3057,1.78506,1.48254,1.97599,0.000307,0.000307,0.000307
16,1715.96,1.40259,1.60409,1.97662,0.74153,0.60752,0.6905,0.32299,1.70482,1.45236,1.92576,0.0002575,0.0002575,0.0002575
17,1822.67,1.38514,1.58428,1.96368,0.73674,0.61716,0.7009,0.3144,1.80413,1.44752,1.99687,0.000208,0.000208,0.000208
18,1923.31,1.36148,1.53849,1.93917,0.66998,0.6377,0.68749,0.35411,1.61354,1.38327,1.88272,0.0001585,0.0001585,0.0001585
19,2026.21,1.35111,1.52806,1.93311,0.6908,0.66948,0.72601,0.36282,1.65944,1.3478,1.89856,0.000109,0.000109,0.000109
20,2130.21,1.33148,1.48198,1.90856,0.69707,0.66022,0.73508,0.38417,1.56063,1.30775,1.83332,5.95e-05,5.95e-05,5.95e-05
