epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.7729,1.79876,2.86702,2.07951,0.47222,0.40543,0.34657,0.13105,2.28209,2.86101,2.26359,0.000332347,0.000332347,0.000332347
2,145.824,1.66087,2.32069,1.95855,0.39783,0.42287,0.36802,0.13818,2.28909,2.2795,2.34744,0.000632729,0.000632729,0.000632729
3,217.185,1.6335,2.20734,1.93437,0.60048,0.45886,0.4527,0.17758,2.25769,2.24011,2.21367,0.000900111,0.000900111,0.000900111
4,288.212,1.60055,2.09906,1.89967,0.47602,0.4319,0.42479,0.18167,2.05016,2.11516,2.04725,0.0008515,0.0008515,0.0008515
5,360.22,1.55946,2.04352,1.8731,0.67603,0.46422,0.54172,0.23741,1.95967,1.76135,1.96237,0.000802,0.000802,0.000802
6,431.604,1.53892,1.98601,1.8535,0.61675,0.49952,0.49359,0.2187,1.88549,1.81778,1.93336,0.0007525,0.0007525,0.0007525
7,503.498,1.52551,1.93631,1.83992,0.50914,0.59334,0.52932,0.24612,1.79515,1.75947,1.86659,0.000703,0.000703,0.000703
8,574.418,1.50065,1.88517,1.82373,0.50831,0.48038,0.50019,0.23677,1.83545,1.71027,1.84751,0.0006535,0.0006535,0.0006535
9,645.389,1.475,1.84807,1.80033,0.59784,0.61099,0.6274,0.271,1.89177,1.60112,1.87881,0.000604,0.000604,0.000604
10,717.314,1.47643,1.83332,1.80302,0.68466,0.55868,0.60767,0.28175,1.73634,1.57357,1.8235,0.0005545,0.0005545,0.0005545
11,785.593,1.46185,1.77107,1.89723,0.59214,0.54106,0.59121,0.29355,1.70549,1.60371,1.79083,0.000505,0.000505,0.000505
12,851.377,1.42101,1.67088,1.86189,0.59841,0.54771,0.62496,0.30642,1.72217,1.50728,1.78406,0.0004555,0.0004555,0.0004555
13,917.871,1.40708,1.62708,1.84498,0.65706,0.61422,0.65503,0.3116,1.73929,1.50309,1.75681,0.000406,0.000406,0.000406
14,983.826,1.3948,1.57301,1.8364,0.6549,0.63827,0.67574,0.33044,1.63662,1.49755,1.71563,0.0003565,0.0003565,0.0003565
15,1050.38,1.37493,1.53518,1.80688,0.71252,0.64378,0.69636,0.34803,1.65032,1.39724,1.70556,0.000307,0.000307,0.000307
16,1116.64,1.36479,1.49813,1.80241,0.68437,0.63154,0.68698,0.35757,1.61525,1.39142,1.70102,0.0002575,0.0002575,0.0002575
17,1184.18,1.34784,1.48353,1.78786,0.72353,0.61751,0.71541,0.34652,1.70381,1.37533,1.75369,0.000208,0.000208,0.000208
18,1249.66,1.323,1.43418,1.76124,0.66698,0.6818,0.69961,0.36937,1.6032,1.342,1.67935,0.0001585,0.0001585,0.0001585
19,1317.04,1.318,1.42334,1.76218,0.70703,0.64409,0.71945,0.36985,1.62393,1.30987,1.69233,0.000109,0.000109,0.000109
20,1383.52,1.29494,1.38425,1.73949,0.72892,0.64543,0.71891,0.39832,1.53257,1.26845,1.62167,5.95e-05,5.95e-05,5.95e-05
