epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.0473,1.75485,2.80772,1.988,0.36892,0.44679,0.39687,0.16535,2.14007,2.75923,2.18475,0.000332518,0.000332518,0.000332518
2,187.795,1.64724,2.30748,1.89419,0.46834,0.4883,0.4525,0.15779,2.17267,2.17066,2.19047,0.000652668,0.000652668,0.000652668
3,278.912,1.62116,2.19129,1.87122,0.45945,0.42295,0.4471,0.18817,2.04357,2.1132,2.04328,0.000959617,0.000959617,0.000959617
4,368.348,1.60828,2.11276,1.85361,0.50513,0.58968,0.56655,0.23825,1.95808,1.95165,1.93365,0.0009406,0.0009406,0.0009406
5,457.618,1.58314,2.04432,1.83654,0.56042,0.5267,0.54129,0.21552,2.01571,1.79909,2.03038,0.0009208,0.0009208,0.0009208
6,547.747,1.57098,2.01,1.82272,0.50864,0.46814,0.52034,0.21682,2.00186,1.81907,1.90957,0.000901,0.000901,0.000901
7,637.419,1.54182,1.94793,1.80403,0.56527,0.58954,0.61342,0.27686,1.90113,1.57867,1.89561,0.0008812,0.0008812,0.0008812
8,728.155,1.53025,1.92353,1.78807,0.66928,0.51338,0.55497,0.24812,1.79767,1.93898,1.79339,0.0008614,0.0008614,0.0008614
9,817.168,1.51731,1.89022,1.77069,0.57921,0.65658,0.65208,0.31112,1.75112,1.51132,1.75385,0.0008416,0.0008416,0.0008416
10,907.669,1.50638,1.86531,1.7686,0.77228,0.57325,0.65324,0.30443,1.75179,1.54831,1.77875,0.0008218,0.0008218,0.0008218
11,998.739,1.49477,1.83635,1.75744,0.65257,0.56874,0.63809,0.31043,1.66786,1.55526,1.73986,0.000802,0.000802,0.000802
12,1089.98,1.48786,1.8316,1.74993,0.64632,0.64806,0.69346,0.33608,1.69875,1.42236,1.71884,0.0007822,0.0007822,0.0007822
13,1180.7,1.47264,1.80357,1.74545,0.62898,0.61259,0.6584,0.31028,1.76894,1.44762,1.76989,0.0007624,0.0007624,0.0007624
14,1271.15,1.47125,1.7894,1.74185,0.63783,0.63167,0.6602,0.30235,1.84999,1.45541,1.84185,0.0007426,0.0007426,0.0007426
15,1360.15,1.45815,1.76057,1.73556,0.59748,0.69085,0.67008,0.33261,1.65632,1.36209,1.69865,0.0007228,0.0007228,0.0007228
16,1450.58,1.46348,1.75843,1.73241,0.6005,0.65124,0.66912,0.32903,1.70911,1.38731,1.71781,0.000703,0.000703,0.000703
17,1539.12,1.4517,1.73862,1.72303,0.68751,0.61898,0.67913,0.34314,1.67763,1.38863,1.72673,0.0006832,0.0006832,0.0006832
18,1628.89,1.43775,1.723,1.71411,0.62917,0.66421,0.67418,0.30002,1.87092,1.41696,1.83189,0.0006634,0.0006634,0.0006634
19,1717.99,1.43437,1.71499,1.71677,0.57303,0.66293,0.64815,0.28796,1.85253,1.47404,1.81246,0.0006436,0.0006436,0.0006436
20,1807.21,1.4386,1.70615,1.71225,0.67659,0.67697,0.7149,0.34983,1.69099,1.30448,1.7376,0.0006238,0.0006238,0.0006238
21,1898.73,1.42475,1.68248,1.70264,0.61098,0.68157,0.69456,0.37655,1.55822,1.32676,1.64711,0.000604,0.000604,0.000604
22,1989.35,1.4235,1.65361,1.69579,0.67311,0.64059,0.69301,0.32749,1.74448,1.37786,1.74165,0.0005842,0.0005842,0.0005842
23,2080.95,1.41485,1.67192,1.69662,0.64947,0.66109,0.70001,0.37333,1.56929,1.30535,1.66645,0.0005644,0.0005644,0.0005644
24,2171.94,1.40598,1.66034,1.69138,0.6387,0.6756,0.71094,0.35493,1.69299,1.31248,1.71397,0.0005446,0.0005446,0.0005446
25,2262.5,1.4107,1.62982,1.69048,0.72062,0.6415,0.72094,0.36773,1.63248,1.2885,1.65128,0.0005248,0.0005248,0.0005248
26,2351.76,1.39754,1.606,1.67409,0.68364,0.66741,0.72462,0.36932,1.61742,1.272,1.68104,0.000505,0.000505,0.000505
27,2442.6,1.39521,1.62827,1.68259,0.69163,0.66651,0.72619,0.3762,1.58877,1.24173,1.65873,0.0004852,0.0004852,0.0004852
28,2532.38,1.38614,1.60133,1.66999,0.70849,0.65965,0.73739,0.37864,1.61779,1.2595,1.66929,0.0004654,0.0004654,0.0004654
29,2620.98,1.3831,1.58107,1.67026,0.67557,0.68753,0.72799,0.38514,1.55668,1.23387,1.63023,0.0004456,0.0004456,0.0004456
30,2710.1,1.38186,1.56953,1.66317,0.67606,0.66887,0.70578,0.34948,1.67813,1.29061,1.69938,0.0004258,0.0004258,0.0004258
31,2798.28,1.37514,1.55162,1.65391,0.68816,0.72885,0.74637,0.39699,1.56997,1.20287,1.64275,0.000406,0.000406,0.000406
32,2888.16,1.37391,1.54211,1.65658,0.67714,0.72813,0.74314,0.39467,1.5582,1.2036,1.64405,0.0003862,0.0003862,0.0003862
33,2976.45,1.36885,1.5377,1.65426,0.67502,0.71871,0.75147,0.4057,1.54198,1.19714,1.627,0.0003664,0.0003664,0.0003664
34,3065.68,1.35904,1.51491,1.64392,0.69135,0.70519,0.74081,0.38606,1.59962,1.20295,1.64485,0.0003466,0.0003466,0.0003466
35,3154.7,1.35215,1.51225,1.6356,0.67257,0.72465,0.75534,0.39849,1.54532,1.18088,1.62486,0.0003268,0.0003268,0.0003268
36,3244.7,1.34869,1.49202,1.6394,0.68183,0.67964,0.73599,0.40092,1.56244,1.17365,1.64674,0.000307,0.000307,0.000307
37,3334.27,1.33857,1.49659,1.63449,0.70307,0.68208,0.73562,0.40685,1.55076,1.17619,1.63475,0.0002872,0.0002872,0.0002872
38,3422.95,1.32986,1.46817,1.61889,0.69561,0.71207,0.75403,0.40208,1.60173,1.15607,1.66105,0.0002674,0.0002674,0.0002674
39,3511.66,1.33023,1.46819,1.62145,0.6807,0.70317,0.742,0.41658,1.49627,1.17641,1.61776,0.0002476,0.0002476,0.0002476
40,3600.48,1.31612,1.44708,1.60851,0.70023,0.72007,0.75867,0.40985,1.51396,1.15693,1.61434,0.0002278,0.0002278,0.0002278
41,3684.96,1.34753,1.34921,1.70894,0.74914,0.68549,0.74316,0.40269,1.54019,1.16644,1.63102,0.000208,0.000208,0.000208
42,3767.58,1.32702,1.28779,1.68747,0.72394,0.70249,0.7507,0.42324,1.48053,1.13464,1.62003,0.0001882,0.0001882,0.0001882
43,3854.07,1.31544,1.27051,1.67594,0.76331,0.70484,0.76516,0.42455,1.48428,1.12684,1.61356,0.0001684,0.0001684,0.0001684
44,3941.29,1.30245,1.23696,1.66831,0.77278,0.68602,0.76695,0.4292,1.48495,1.10289,1.62805,0.0001486,0.0001486,0.0001486
45,4027.41,1.29071,1.21648,1.65873,0.75741,0.72539,0.76238,0.42923,1.48924,1.10395,1.63355,0.0001288,0.0001288,0.0001288
46,4116.47,1.2776,1.19307,1.64979,0.7908,0.70695,0.77169,0.43112,1.48749,1.09131,1.62802,0.000109,0.000109,0.000109
47,4206.96,1.27541,1.18834,1.6439,0.74653,0.72777,0.77838,0.43865,1.4909,1.09222,1.62997,8.92e-05,8.92e-05,8.92e-05
48,4292.95,1.26239,1.16962,1.63046,0.77584,0.72218,0.77821,0.43676,1.494,1.08244,1.63719,6.94e-05,6.94e-05,6.94e-05
49,4379.74,1.25059,1.15055,1.62145,0.76035,0.71956,0.77433,0.43425,1.49771,1.08567,1.63695,4.96e-05,4.96e-05,4.96e-05
