epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.3326,1.70522,2.79058,1.87284,0.74383,0.39174,0.43655,0.19815,1.82174,2.57281,1.90093,0.000332347,0.000332347,0.000332347
2,173.68,1.64267,2.25435,1.79828,0.47239,0.55667,0.51408,0.23328,1.81215,1.98784,1.82358,0.0006525,0.0006525,0.0006525
3,257.903,1.61535,2.13873,1.78515,0.65052,0.54347,0.56378,0.28344,1.67958,2.09058,1.85076,0.000959453,0.000959453,0.000959453
4,341.037,1.59239,2.04521,1.75939,0.47472,0.53883,0.52965,0.26317,1.72777,1.96272,1.82108,0.0009406,0.0009406,0.0009406
5,424.329,1.56504,1.97011,1.74252,0.62846,0.4858,0.52451,0.23987,1.78095,2.00875,1.86,0.0009208,0.0009208,0.0009208
6,507.739,1.54128,1.91711,1.7246,0.71239,0.55967,0.62466,0.33472,1.57588,1.54168,1.67703,0.000901,0.000901,0.000901
7,591.059,1.51652,1.84184,1.70031,0.73352,0.57342,0.62098,0.31532,1.60904,1.61118,1.74139,0.0008812,0.0008812,0.0008812
8,672.364,1.52503,1.82237,1.70296,0.71518,0.59371,0.63346,0.3209,1.60565,1.52854,1.67867,0.0008614,0.0008614,0.0008614
9,754.245,1.49666,1.80753,1.68283,0.77917,0.56358,0.67378,0.36181,1.53074,1.42707,1.61683,0.0008416,0.0008416,0.0008416
10,835.757,1.49292,1.7836,1.68883,0.57927,0.64211,0.64964,0.33399,1.59328,1.48825,1.64852,0.0008218,0.0008218,0.0008218
11,916.405,1.47784,1.74691,1.66824,0.59381,0.60514,0.63778,0.32554,1.65353,1.52877,1.72303,0.000802,0.000802,0.000802
12,997.133,1.46531,1.72848,1.67077,0.7443,0.62852,0.69585,0.3655,1.55927,1.39215,1.64724,0.0007822,0.0007822,0.0007822
