epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.1489,1.74983,2.81169,1.96465,0.58516,0.42234,0.40559,0.16633,2.0806,2.68156,2.06785,0.000332347,0.000332347,0.000332347
2,148.114,1.65116,2.26935,1.8757,0.3829,0.43964,0.40625,0.17911,2.15971,2.20058,2.12524,0.0006525,0.0006525,0.0006525
3,220.705,1.62679,2.13904,1.84782,0.52414,0.46056,0.42582,0.18926,1.99899,2.45781,1.94765,0.000959453,0.000959453,0.000959453
4,292.615,1.61119,2.0738,1.83101,0.36401,0.43723,0.41082,0.17055,2.05602,2.23291,2.06078,0.0009406,0.0009406,0.0009406
5,364.806,1.5731,1.98738,1.80172,0.50641,0.58982,0.55642,0.24014,1.88613,1.78793,1.9177,0.0009208,0.0009208,0.0009208
6,437.671,1.55257,1.93593,1.78364,0.72035,0.53314,0.59947,0.27059,1.82055,1.70883,1.87638,0.000901,0.000901,0.000901
7,509.52,1.53508,1.87498,1.77135,0.68718,0.52069,0.559,0.25443,1.77963,1.65385,1.82381,0.0008812,0.0008812,0.0008812
8,580.77,1.52512,1.85604,1.76794,0.55742,0.57057,0.59305,0.26581,1.7916,1.66749,1.80547,0.0008614,0.0008614,0.0008614
9,653.509,1.50381,1.82305,1.75018,0.554,0.63537,0.64955,0.3029,1.73909,1.58859,1.7802,0.0008416,0.0008416,0.0008416
10,725.044,1.50771,1.82186,1.7574,0.57025,0.62404,0.64588,0.28292,1.8348,1.60711,1.88235,0.0008218,0.0008218,0.0008218
11,796.758,1.5004,1.79535,1.74667,0.53637,0.59461,0.5944,0.25304,1.99507,1.60391,1.95948,0.000802,0.000802,0.000802
12,870.669,1.47859,1.76663,1.73092,0.64026,0.55701,0.64875,0.30444,1.74307,1.53531,1.78983,0.0007822,0.0007822,0.0007822
13,944.513,1.4823,1.75383,1.73127,0.62795,0.63791,0.66867,0.29909,1.82262,1.44842,1.83156,0.0007624,0.0007624,0.0007624
14,1017.09,1.4613,1.73656,1.71413,0.76453,0.57266,0.65977,0.3182,1.73322,1.46961,1.79169,0.0007426,0.0007426,0.0007426
15,1090.78,1.45902,1.70319,1.71034,0.63771,0.638,0.67765,0.29769,1.85998,1.49939,1.82639,0.0007228,0.0007228,0.0007228
16,1163.97,1.44008,1.68633,1.70526,0.61671,0.64615,0.66068,0.33759,1.6324,1.43193,1.71749,0.000703,0.000703,0.000703
17,1237.62,1.44079,1.6847,1.69526,0.66325,0.60234,0.68711,0.35204,1.57464,1.38047,1.66242,0.0006832,0.0006832,0.0006832
18,1311.85,1.42471,1.66468,1.69182,0.63876,0.63456,0.69538,0.35729,1.57912,1.37572,1.66707,0.0006634,0.0006634,0.0006634
19,1385.03,1.42763,1.64648,1.68962,0.6684,0.60817,0.67858,0.35533,1.60722,1.34092,1.6717,0.0006436,0.0006436,0.0006436
20,1459.95,1.41285,1.64039,1.68249,0.68813,0.61979,0.65211,0.32867,1.63422,1.43445,1.69969,0.0006238,0.0006238,0.0006238
21,1533.43,1.41096,1.63465,1.67699,0.7196,0.63025,0.7187,0.37418,1.62426,1.291,1.70162,0.000604,0.000604,0.000604
22,1607.24,1.40454,1.6168,1.67653,0.71652,0.64203,0.70386,0.33666,1.7995,1.35148,1.80063,0.0005842,0.0005842,0.0005842
23,1681.24,1.40254,1.59614,1.66506,0.80578,0.61929,0.70342,0.37428,1.59516,1.28648,1.65745,0.0005644,0.0005644,0.0005644
24,1754.63,1.39494,1.58372,1.6648,0.65619,0.69396,0.73647,0.36776,1.66755,1.26333,1.70436,0.0005446,0.0005446,0.0005446
25,1828.9,1.37741,1.56453,1.65539,0.64732,0.69767,0.72884,0.39279,1.56872,1.26079,1.65715,0.0005248,0.0005248,0.0005248
26,1902.98,1.3732,1.55408,1.64852,0.66004,0.67875,0.72228,0.37684,1.59061,1.27174,1.66963,0.000505,0.000505,0.000505
27,1976.2,1.37373,1.54395,1.64712,0.66984,0.71536,0.74011,0.38694,1.59655,1.23028,1.65278,0.0004852,0.0004852,0.0004852
28,2050.92,1.37484,1.53522,1.64966,0.6803,0.70162,0.74536,0.37648,1.66243,1.27356,1.69411,0.0004654,0.0004654,0.0004654
29,2123.65,1.36662,1.54396,1.64515,0.67306,0.6941,0.72965,0.35606,1.70053,1.26691,1.71385,0.0004456,0.0004456,0.0004456
30,2196.71,1.35198,1.52014,1.63454,0.67557,0.69488,0.74373,0.38944,1.60296,1.25261,1.65841,0.0004258,0.0004258,0.0004258
31,2271.71,1.35146,1.49813,1.63129,0.68427,0.6901,0.73833,0.40219,1.54827,1.19785,1.65144,0.000406,0.000406,0.000406
32,2345.09,1.34513,1.4914,1.6278,0.71179,0.67433,0.73201,0.38565,1.55521,1.22596,1.63512,0.0003862,0.0003862,0.0003862
33,2417.48,1.34107,1.48322,1.6201,0.69764,0.70378,0.75335,0.40204,1.5594,1.20466,1.63391,0.0003664,0.0003664,0.0003664
34,2489.35,1.33886,1.46917,1.61692,0.82627,0.65084,0.76083,0.40357,1.56103,1.20534,1.63102,0.0003466,0.0003466,0.0003466
35,2561.92,1.33842,1.47745,1.6219,0.71264,0.69326,0.75396,0.40272,1.5736,1.21039,1.64574,0.0003268,0.0003268,0.0003268
36,2633.64,1.33078,1.45523,1.61452,0.71774,0.73512,0.77121,0.40614,1.56344,1.17212,1.63392,0.000307,0.000307,0.000307
37,2706.91,1.32525,1.43705,1.60172,0.71784,0.70572,0.75439,0.39982,1.55963,1.18606,1.62564,0.0002872,0.0002872,0.0002872
38,2780.73,1.31403,1.42571,1.59769,0.68511,0.69317,0.74256,0.40294,1.51518,1.15891,1.64213,0.0002674,0.0002674,0.0002674
39,2854.58,1.31094,1.40748,1.59072,0.69974,0.70901,0.75958,0.41749,1.5066,1.15464,1.62131,0.0002476,0.0002476,0.0002476
40,2927.88,1.30586,1.41677,1.59037,0.69182,0.69308,0.74372,0.39872,1.57767,1.16631,1.62685,0.0002278,0.0002278,0.0002278
41,2997.9,1.31788,1.31276,1.66717,0.68898,0.73498,0.76188,0.42436,1.49497,1.10903,1.58627,0.000208,0.000208,0.000208
42,3066.32,1.30639,1.26114,1.65593,0.67941,0.75068,0.75856,0.41934,1.50863,1.14411,1.60095,0.0001882,0.0001882,0.0001882
43,3134.99,1.30131,1.24502,1.64651,0.67542,0.74253,0.75727,0.42313,1.50209,1.11978,1.60879,0.0001684,0.0001684,0.0001684
44,3204.14,1.28123,1.21495,1.63403,0.65949,0.74961,0.752,0.4064,1.5634,1.14675,1.65119,0.0001486,0.0001486,0.0001486
45,3272.3,1.27173,1.19874,1.63522,0.66398,0.72809,0.75154,0.41802,1.5018,1.11946,1.62409,0.0001288,0.0001288,0.0001288
46,3339.89,1.26076,1.18806,1.61943,0.7105,0.70895,0.7567,0.42146,1.53397,1.1178,1.62709,0.000109,0.000109,0.000109
47,3408.13,1.25547,1.16744,1.61139,0.67013,0.7437,0.75368,0.42358,1.52409,1.11236,1.62344,8.92e-05,8.92e-05,8.92e-05
48,3476.01,1.24861,1.15393,1.60665,0.69496,0.74516,0.76471,0.41693,1.54333,1.10853,1.64313,6.94e-05,6.94e-05,6.94e-05
49,3544.41,1.2355,1.14619,1.5974,0.69942,0.75421,0.76929,0.43228,1.5102,1.09358,1.61987,4.96e-05,4.96e-05,4.96e-05
50,3612.89,1.23798,1.12888,1.59719,0.71666,0.73575,0.76715,0.43217,1.50287,1.093,1.6217,2.98e-05,2.98e-05,2.98e-05
