epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.9461,1.75135,2.82177,1.99162,0.40667,0.55984,0.46718,0.18658,2.03837,2.45005,2.0142,0.000332461,0.000332461,0.000332461
2,166.549,1.64452,2.282,1.88605,0.41688,0.49066,0.41687,0.16759,2.20027,2.34286,2.1412,0.000652611,0.000652611,0.000652611
3,247.64,1.6354,2.18242,1.86991,0.67031,0.45599,0.51067,0.20932,1.96819,1.97149,1.95394,0.000959562,0.000959562,0.000959562
4,328.543,1.61112,2.08792,1.84484,0.42673,0.53683,0.48004,0.19072,2.07147,2.22918,2.0203,0.0009406,0.0009406,0.0009406
5,409.306,1.5821,2.03587,1.82672,0.47397,0.46867,0.47809,0.1767,2.29388,2.01037,2.20903,0.0009208,0.0009208,0.0009208
6,491.677,1.56228,1.97418,1.80654,0.51584,0.50148,0.52529,0.21015,1.99675,1.85339,1.99798,0.000901,0.000901,0.000901
7,575.912,1.54606,1.92122,1.78954,0.75564,0.50864,0.58532,0.25816,1.77363,1.71671,1.82948,0.0008812,0.0008812,0.0008812
8,658.146,1.53261,1.90706,1.78188,0.57987,0.53327,0.5857,0.25632,2.00526,1.61006,1.92058,0.0008614,0.0008614,0.0008614
9,739.726,1.51368,1.8598,1.76761,0.65002,0.64314,0.66316,0.29751,1.80599,1.52024,1.81495,0.0008416,0.0008416,0.0008416
10,823.178,1.50254,1.83721,1.75405,0.605,0.5922,0.63344,0.28818,1.82745,1.51489,1.83921,0.0008218,0.0008218,0.0008218
11,904.61,1.488,1.8209,1.75248,0.60811,0.58505,0.61187,0.26014,1.92724,1.55432,1.89888,0.000802,0.000802,0.000802
12,985.127,1.49617,1.82022,1.75677,0.7785,0.58271,0.68661,0.31408,1.81436,1.53371,1.78877,0.0007822,0.0007822,0.0007822
13,1066.7,1.46819,1.77508,1.7282,0.62799,0.62871,0.67933,0.33503,1.62327,1.4161,1.69802,0.0007624,0.0007624,0.0007624
14,1148.6,1.46402,1.76753,1.7298,0.57133,0.65181,0.65221,0.31556,1.69999,1.48598,1.74149,0.0007426,0.0007426,0.0007426
15,1231.23,1.45225,1.7683,1.72732,0.61944,0.62295,0.64732,0.29788,1.76135,1.43741,1.80487,0.0007228,0.0007228,0.0007228
16,1312.41,1.44909,1.74123,1.7263,0.66113,0.65621,0.70224,0.3465,1.64275,1.34809,1.69925,0.000703,0.000703,0.000703
17,1394.02,1.43401,1.70744,1.70657,0.56009,0.65701,0.65141,0.3164,1.68576,1.47933,1.73153,0.0006832,0.0006832,0.0006832
18,1475.91,1.4429,1.70206,1.70959,0.65637,0.67527,0.71588,0.35143,1.68816,1.3422,1.71415,0.0006634,0.0006634,0.0006634
19,1558.96,1.43414,1.70045,1.70842,0.57957,0.66937,0.6619,0.32036,1.60764,1.43937,1.71743,0.0006436,0.0006436,0.0006436
20,1641.78,1.42437,1.68459,1.7001,0.59638,0.68432,0.68915,0.30783,1.80493,1.39727,1.81572,0.0006238,0.0006238,0.0006238
21,1723.64,1.41936,1.66921,1.69282,0.67743,0.68187,0.72856,0.36088,1.64913,1.33127,1.66914,0.000604,0.000604,0.000604
